iter	Passed	Remaining
0	160	160717
1	162	81279
2	164	54709
3	166	41486
4	169	33805
5	171	28475
6	173	24634
7	175	21763
8	177	19554
9	179	17746
10	181	16303
11	183	15128
12	185	14090
13	187	13207
14	189	12440
15	191	11760
16	193	11170
17	195	10685
18	198	10240
19	200	9807
20	202	9420
21	204	9068
22	205	8734
23	207	8450
24	210	8191
25	212	7943
26	213	7696
27	215	7473
28	216	7251
29	217	7043
30	219	6860
31	221	6688
32	222	6529
33	225	6393
34	227	6258
35	229	6140
36	231	6020
37	233	5906
38	235	5793
39	237	5698
40	239	5611
41	241	5515
42	243	5420
43	245	5344
44	247	5253
45	249	5165
46	250	5083
47	254	5045
48	257	5002
49	259	4930
50	264	4914
51	266	4852
52	268	4794
53	269	4729
54	271	4666
55	273	4610
56	275	4555
57	276	4493
58	278	4442
59	284	4462
60	286	4413
61	291	4408
62	294	4379
63	297	4349
64	299	4303
65	300	4255
66	301	4205
67	303	4165
68	306	4132
69	307	4088
70	309	4043
71	311	4014
72	313	3981
73	315	3942
74	317	3910
75	318	3877
76	320	3839
77	321	3801
78	323	3766
79	325	3738
80	327	3714
81	329	3685
82	329	3644
83	332	3622
84	333	3592
85	335	3564
86	336	3535
87	338	3510
88	340	3486
89	342	3463
90	344	3438
91	345	3411
92	346	3383
93	348	3360
94	350	3340
95	352	3315
96	353	3293
97	355	3275
98	357	3255
99	359	3238
100	361	3214
101	362	3193
102	364	3175
103	366	3154
104	368	3137
105	370	3124
106	371	3102
107	373	3084
108	375	3067
109	376	3047
110	378	3028
111	379	3009
112	380	2989
113	382	2975
114	385	2966
115	386	2948
116	387	2927
117	389	2909
118	390	2891
119	391	2873
120	393	2858
121	394	2838
122	395	2820
123	397	2807
124	399	2797
125	401	2785
126	402	2769
127	404	2756
128	406	2742
129	408	2731
130	409	2716
131	411	2703
132	416	2712
133	418	2705
134	420	2693
135	421	2680
136	424	2673
137	427	2671
138	430	2664
139	431	2651
140	432	2637
141	433	2620
142	434	2606
143	436	2592
144	437	2580
145	438	2566
146	440	2556
147	443	2551
148	445	2542
149	446	2531
150	449	2524
151	450	2514
152	452	2504
153	453	2493
154	455	2485
155	458	2478
156	459	2467
157	461	2456
158	462	2446
159	464	2436
160	464	2422
161	466	2413
162	469	2408
163	471	2403
164	473	2396
165	475	2391
166	477	2382
167	479	2373
168	480	2364
169	482	2357
170	485	2355
171	488	2349
172	491	2347
173	493	2340
174	494	2333
175	496	2324
176	497	2314
177	499	2307
178	502	2306
179	505	2301
180	508	2301
181	513	2307
182	518	2314
183	520	2307
184	522	2301
185	524	2293
186	525	2286
187	527	2277
188	529	2272
189	532	2270
190	534	2264
191	536	2258
192	540	2258
193	543	2257
194	547	2259
195	548	2251
196	550	2243
197	553	2241
198	555	2234
199	557	2228
200	558	2221
201	560	2214
202	562	2207
203	563	2198
204	564	2190
205	566	2183
206	568	2176
207	569	2168
208	570	2160
209	572	2152
210	573	2146
211	575	2140
212	577	2134
213	579	2127
214	580	2119
215	581	2111
216	582	2103
217	584	2096
218	585	2087
219	587	2081
220	589	2079
221	591	2073
222	592	2065
223	594	2057
224	595	2050
225	596	2042
226	597	2035
227	599	2028
228	600	2021
229	602	2015
230	604	2011
231	606	2006
232	607	1999
233	608	1992
234	609	1985
235	611	1978
236	612	1971
237	613	1965
238	615	1958
239	616	1952
240	618	1946
241	620	1942
242	621	1935
243	622	1928
244	623	1922
245	625	1916
246	626	1909
247	627	1903
248	629	1897
249	631	1893
250	632	1888
251	635	1885
252	636	1879
253	637	1873
254	639	1867
255	640	1861
256	641	1854
257	642	1848
258	643	1842
259	645	1836
260	646	1831
261	648	1826
262	650	1822
263	651	1817
264	653	1811
265	654	1806
266	656	1803
267	658	1798
268	660	1794
269	662	1790
270	664	1786
271	665	1781
272	666	1776
273	668	1771
274	670	1766
275	671	1760
276	672	1755
277	673	1749
278	675	1744
279	676	1739
280	678	1735
281	680	1731
282	681	1726
283	682	1720
284	683	1715
285	685	1710
286	686	1705
287	688	1700
288	689	1696
289	692	1694
290	694	1691
291	695	1687
292	697	1682
293	698	1677
294	700	1673
295	701	1668
296	702	1663
297	704	1659
298	706	1655
299	708	1652
300	709	1648
301	711	1643
302	712	1639
303	714	1634
304	715	1630
305	716	1625
306	718	1620
307	719	1616
308	721	1612
309	723	1609
310	724	1605
311	726	1600
312	727	1596
313	728	1592
314	730	1588
315	731	1583
316	732	1578
317	733	1573
318	735	1570
319	737	1567
320	738	1562
321	739	1557
322	741	1553
323	742	1548
324	743	1544
325	744	1539
326	745	1535
327	747	1530
328	748	1526
329	749	1521
330	751	1518
331	753	1515
332	754	1511
333	756	1507
334	757	1503
335	758	1498
336	759	1494
337	760	1489
338	761	1485
339	762	1480
340	764	1477
341	766	1474
342	768	1471
343	769	1467
344	770	1463
345	772	1459
346	773	1455
347	774	1451
348	776	1447
349	777	1444
350	780	1443
351	782	1441
352	784	1437
353	785	1434
354	787	1430
355	788	1426
356	789	1422
357	791	1419
358	793	1416
359	794	1412
360	797	1411
361	798	1407
362	800	1404
363	801	1400
364	802	1396
365	803	1392
366	804	1388
367	805	1384
368	807	1380
369	808	1376
370	810	1373
371	812	1372
372	814	1368
373	815	1365
374	816	1361
375	818	1357
376	819	1354
377	820	1350
378	821	1346
379	823	1342
380	824	1339
381	827	1338
382	828	1335
383	830	1331
384	831	1327
385	832	1324
386	833	1320
387	834	1316
388	836	1313
389	837	1309
390	838	1306
391	841	1304
392	842	1302
393	844	1298
394	845	1295
395	846	1291
396	848	1288
397	849	1284
398	850	1281
399	851	1277
400	852	1274
401	855	1272
402	857	1269
403	858	1266
404	859	1262
405	860	1259
406	862	1256
407	863	1252
408	864	1249
409	865	1245
410	866	1242
411	868	1239
412	871	1238
413	873	1236
414	874	1233
415	876	1230
416	879	1228
417	880	1225
418	881	1222
419	882	1218
420	885	1217
421	886	1214
422	888	1212
423	890	1209
424	891	1205
425	892	1202
426	893	1198
427	894	1195
428	895	1191
429	896	1188
430	897	1185
431	899	1182
432	901	1179
433	902	1177
434	904	1174
435	905	1170
436	906	1167
437	907	1164
438	908	1160
439	909	1157
440	910	1153
441	911	1150
442	912	1147
443	913	1144
444	915	1141
445	917	1139
446	919	1137
447	920	1134
448	921	1131
449	922	1128
450	924	1124
451	925	1121
452	926	1119
453	929	1117
454	931	1115
455	933	1113
456	934	1110
457	935	1107
458	937	1105
459	938	1102
460	940	1099
461	941	1096
462	943	1093
463	945	1092
464	947	1090
465	949	1087
466	950	1085
467	952	1082
468	953	1079
469	955	1077
470	957	1075
471	959	1073
472	961	1070
473	963	1068
474	964	1066
475	965	1063
476	967	1060
477	968	1058
478	970	1055
479	971	1052
480	973	1050
481	975	1048
482	977	1046
483	978	1043
484	980	1040
485	981	1038
486	983	1035
487	984	1033
488	985	1030
489	987	1028
490	990	1026
491	991	1023
492	993	1021
493	994	1018
494	995	1015
495	996	1012
496	997	1009
497	998	1006
498	999	1003
499	1001	1001
500	1003	999
501	1005	997
502	1006	994
503	1008	992
504	1009	989
505	1011	987
506	1013	985
507	1014	982
508	1016	980
509	1018	978
510	1020	976
511	1021	973
512	1023	971
513	1024	968
514	1025	966
515	1027	963
516	1028	960
517	1029	957
518	1032	957
519	1034	954
520	1035	952
521	1037	949
522	1038	947
523	1039	944
524	1041	942
525	1043	939
526	1044	937
527	1047	936
528	1049	934
529	1051	932
530	1052	929
531	1054	927
532	1055	924
533	1056	922
534	1058	919
535	1059	917
536	1060	914
537	1063	912
538	1064	910
539	1066	908
540	1067	905
541	1068	902
542	1069	900
543	1070	897
544	1071	894
545	1072	892
546	1073	889
547	1075	886
548	1076	884
549	1078	882
550	1079	880
551	1081	877
552	1082	874
553	1083	872
554	1084	869
555	1085	866
556	1086	864
557	1087	861
558	1088	858
559	1090	856
560	1092	855
561	1093	852
562	1095	849
563	1096	847
564	1097	844
565	1098	841
566	1099	839
567	1100	836
568	1101	834
569	1102	831
570	1103	829
571	1105	827
